Input Size,K,Execution Time (ms),RMSE,MAE
10000,5,2534.15,1.0992,0.8669
10000,10,2553.79,1.0784,0.8514
10000,20,3038.34,1.0746,0.8495
20000,5,5695.28,1.0565,0.8293
20000,10,5506.65,1.0311,0.8086
20000,20,6005.44,1.025,0.8064
40000,5,10965.06,1.0645,0.837
40000,10,10792.58,1.0373,0.8188
40000,20,10044.99,1.028,0.8121
60000,5,14455.04,1.0753,0.8468
60000,10,14125.83,1.0402,0.8207
60000,20,14614.96,1.0276,0.8126
80000,5,18669.3,1.0553,0.8338
80000,10,18706.33,1.0229,0.8121
80000,20,19438.54,1.0099,0.8027
100000,5,23225.57,1.0458,0.8263
100000,10,23312.91,1.0152,0.8047
100000,20,24421.19,1.0022,0.7958
